Ear,Time
0.2529582758108403,21:22:23
0.25159158712111956,21:22:24
0.2705974579204899,21:22:25
0.1819803902718557,21:22:25
0.19611613513818402,21:22:26
0.18444250278420887,21:22:27
0.1346153846153846,21:22:27
0.1346153846153846,21:22:28
0.13688159412456974,21:22:28
0.1319093634373641,21:22:28
0.13773610884939191,21:22:29
0.1319093634373641,21:22:29
0.15858098560067926,21:22:30
0.215034270074827,21:22:30
0.19216561050602196,21:22:30
0.23236081789035035,21:22:31
0.2222222222222222,21:22:31
0.21313004865958113,21:22:31
0.23236081789035035,21:22:32
0.22375486167218922,21:22:32
0.2037037037037037,21:22:33
0.23236081789035035,21:22:33
0.22375486167218922,21:22:33
0.23395240501146997,21:22:34
0.2321891438234044,21:22:34
0.2321891438234044,21:22:35
0.23236081789035035,21:22:35
0.23236081789035035,21:22:36
0.23980823009322946,21:22:36
0.23980823009322946,21:22:37
0.23395240501146997,21:22:37
0.2148753973009589,21:22:37
0.23236081789035035,21:22:37
0.21982421091879367,21:22:38
0.21328498608478083,21:22:38
0.21982421091879367,21:22:39
0.24146215808563387,21:22:39
0.23076923076923078,21:22:40
0.2616552506059644,21:22:40
0.23236081789035035,21:22:41
0.23236081789035035,21:22:41
0.25159158712111956,21:22:42
0.2321891438234044,21:22:42
0.24,21:22:42
0.26,21:22:42
0.23076923076923078,21:22:43
0.2513666886897207,21:22:43
0.25159158712111956,21:22:43
0.23236081789035035,21:22:44
0.23236081789035035,21:22:44
0.23236081789035035,21:22:45
0.24165525060596438,21:22:45
0.23236081789035035,21:22:45
0.24358945078080915,21:22:46
0.2513666886897207,21:22:46
0.2513666886897207,21:22:46
0.23395240501146997,21:22:46
0.23236081789035035,21:22:47
0.24331050121192876,21:22:47
0.24331050121192876,21:22:47
0.24331050121192876,21:22:47
0.23395240501146997,21:22:48
0.23377955503958245,21:22:48
0.25118097260327416,21:22:48
0.24146215808563387,21:22:48
0.24146215808563387,21:22:49
0.25159158712111956,21:22:49
0.25159158712111956,21:22:49
0.2514057048740066,21:22:49
