Ear,Time
0.3227141665159068,17:39:58
0.3508085669862803,17:40:0
0.21844661828996353,17:40:3
0.33480990017677464,17:40:5
0.30075604533097594,17:40:8
0.2915031616711022,17:40:10
0.18954251711878384,17:40:12
0.26666666666666666,17:40:15
0.2941768577292853,17:40:17
0.29310344827586204,17:40:54
0.25,17:40:56
0.19790647375532533,17:40:59
0.23199494833068116,17:41:1
0.28846153846153844,17:41:4
0.25986337406568816,17:41:6
0.2698004091849499,17:41:8
0.3125,17:41:11
0.26942349149592976,17:41:13
0.20093335197729212,17:41:16
0.2840986302146567,17:41:47
0.24936467495768377,17:41:52
0.2498407135868874,17:41:54
0.277587453824102,17:46:6
0.28846153846153844,17:46:8
0.24139545268686022,17:46:18
0.19642857142857142,18:2:35
0.25908162356916187,18:2:38
0.2962962962962963,18:2:40
0.2577620184909895,18:2:42
0.25908162356916187,18:3:34
0.25908162356916187,18:3:36
0.29976028761653684,18:3:39
0.2849881999516386,18:3:41
0.26039679243213437,18:3:44
0.344707889976085,18:3:46
0.21138217155662417,18:3:48
0.2300894966542111,18:3:51
0.2300894966542111,18:3:53
0.32765251889914937,18:3:58
0.2975090739260495,18:4:0
0.1717500179650413,18:4:10
0.17749534665095676,18:4:12
0.275,18:4:20
0.2662558043912329,18:4:22
0.19802861566339494,18:4:25
0.2571832807767611,18:4:28
0.20972220313935896,18:4:32
0.21220542627392136,18:4:35
0.23463225241337865,18:4:39
0.2207107502912299,18:4:48
0.14077312659286823,18:4:51
0.2009985895560542,18:4:54
0.1775015181322982,18:4:56
0.19174124721184263,18:4:58
0.183317046628872,18:5:1
0.15231546211727814,18:5:3
0.2057983021710106,18:5:6
0.34094799866833236,18:5:9
0.30110508612523423,18:5:16
